name,role,weapon,first_nan,camp
唐三藏,取经人,九环锡杖,1,取经团
孙悟空,斗战胜佛,如意金箍棒,8,取经团
猪八戒,净坛使者,九齿钉钯,12,取经团
沙悟净,金身罗汉,降妖宝杖,15,取经团
白龙马,八部天龙,无,9,取经团
观音,菩萨,羊脂玉净瓶,9,神佛
如来,佛祖,无,1,神佛
太上老君,道祖,金刚琢,24,神佛
太白金星,星官,无,5,神佛
灵吉菩萨,菩萨,定风丹,13,神佛
弥勒佛,佛,人种袋,53,神佛
托塔天王,天将,玲珑宝塔,40,神佛
二郎神,天将,三尖两刃刀,51,神佛
红孩儿,圣婴大王,火尖枪,28,妖魔
牛魔王,平天大圣,混铁棍,49,妖魔
铁扇公主,罗刹女,芭蕉扇,48,妖魔
黄眉大王,小雷音妖王,狼牙棒,53,妖魔
赛太岁,麒麟山妖王,紫金铃,56,妖魔
六耳猕猴,混世四猴,随心铁杆兵,46,妖魔
九灵元圣,太乙坐骑,无,75,妖魔
金角大王,平顶山妖王,紫金红葫芦,24,妖魔
银角大王,莲花洞妖王,七星剑,25,妖魔
灵感大王,通天河妖王,铜锤,36,妖魔
老鼋,通天河水族,无,81,妖魔
金鼻白毛老鼠精,半截观音,双股剑,67,妖魔
