nan_no,nan_name,category,location,opponent,helper,chapter_hint,duration_days,difficulty_score
1,金蝉遭贬,宿因,灵山,,如来,8,27,3
2,出胎几杀,宿因,江州,刘洪,,9,36,4
3,满月抛江,宿因,江州,刘洪,法明长老,9,46,6
4,寻亲报冤,宿因,江州,刘洪,殷开山,9,34,3
5,出城逢虎,妖魔,双叉岭,寅将军,太白金星,13,22,7
6,落坑折从,妖魔,双叉岭,寅将军,太白金星,13,11,7
7,双叉岭上,妖魔,双叉岭,熊山君,太白金星,13,26,6
8,两界山头,神佛试炼,两界山,,刘伯钦,14,3,5
9,陡涧换马,妖魔,鹰愁涧,小白龙,观音,15,11,8
10,夜被火烧,人祸,观音禅院,金池长老,悟空,16,21,3
11,失却袈裟,妖魔,黑风山,黑熊精,观音,17,21,10
12,收降八戒,妖魔,高老庄,猪八戒,观音,18,16,2
13,黄风怪阻,妖魔,黄风岭,黄风怪,观音,20,9,9
14,请求灵吉,妖魔,黄风岭,黄风怪,灵吉菩萨,21,29,8
15,流沙难渡,水难,流沙河,沙僧,观音,22,13,2
16,收得沙僧,水难,流沙河,沙僧,木叉,22,13,8
17,四圣显化,神佛试炼,莫家庄,,黎山老母,23,13,6
18,五庄观中,神佛试炼,五庄观,镇元子,观音,24,12,3
19,难活人参,神佛试炼,五庄观,镇元子,观音,26,14,4
20,贬退心猿,人祸,白虎岭,白骨精,,27,26,2
21,黑松林失散,妖魔,黑松林,黄袍怪,,28,22,9
22,宝象国捎书,人祸,宝象国,黄袍怪,百花羞,29,28,6
23,金銮殿变虎,妖魔,宝象国,黄袍怪,白龙马,30,17,3
24,平顶山逢魔,妖魔,平顶山,银角大王,太上老君,32,26,5
25,莲花洞高悬,妖魔,莲花洞,金角大王,太上老君,33,26,2
26,乌鸡国救主,人祸,乌鸡国,青毛狮子,文殊菩萨,37,22,5
27,被魔化身,人祸,乌鸡国,青毛狮子,文殊菩萨,38,13,3
28,号山逢怪,妖魔,号山,红孩儿,观音,40,30,2
29,风摄圣僧,妖魔,号山,红孩儿,观音,40,25,2
30,心猿遭害,妖魔,火云洞,红孩儿,观音,41,10,10
31,请圣降妖,妖魔,火云洞,红孩儿,观音,42,23,4
32,黑河沉没,水难,洛水河,鼍龙,摩昂太子,43,18,4
33,搬运车迟,人祸,车迟国,虎力大仙,,44,15,4
34,大赌输赢,人祸,车迟国,鹿力大仙,,45,31,6
35,祛道兴僧,人祸,车迟国,羊力大仙,,46,13,4
36,路逢大水,水难,通天河,玄鲤大王,,47,19,6
37,身落天河,水难,通天河,玄鲤大王,观音,48,7,2
38,鱼篮现身,水难,通天河,玄鲤大王,观音,49,10,3
39,金兜山遇怪,妖魔,金兜山,独角兕大王,太上老君,50,14,10
40,普天神难伏,妖魔,金兜山,独角兕大王,托塔天王,51,18,2
41,问佛根源,妖魔,金兜山,独角兕大王,如来,52,30,7
42,吃水遭毒,人祸,西梁女国,如意真仙,沙僧,53,18,7
43,西梁国留婚,人祸,西梁女国,女王,,54,18,6
44,琵琶洞受苦,妖魔,毒敌山,蝎子精,昴日星官,55,14,10
45,再贬心猿,人祸,白虎岭外,,,56,13,3
46,难辨猕猴,妖魔,花果山,四耳猕猴,如来,58,13,8
47,路阻火焰山,妖魔,火焰山,,,59,38,2
48,求取芭蕉扇,天灾,翠云山,铁扇公主,,60,27,6
49,收缚魔王,妖魔,积雷山,牛魔王,托塔天王,61,17,3
50,赛城扫塔,人祸,祭赛国,九头虫,,62,23,6
51,取宝救僧,妖魔,乱石山,九头虫,二郎神,63,17,8
52,棘林吟咏,神佛试炼,荆棘岭,树精,,64,22,10
53,小雷音遇难,妖魔,小雷音寺,黄眉大王,弥勒佛,65,24,10
54,诸天神遭困,妖魔,小雷音寺,黄眉大王,弥勒佛,66,28,7
55,稀柿衕秽阻,天灾,七绝山,蟒蛇精,八戒,67,37,2
56,朱紫国行医,人祸,朱紫国,赛太岁,,68,20,3
57,拯救疲癃,人祸,朱紫国,赛太岁,观音,69,22,3
58,降妖取后,妖魔,麒麟山,赛太岁,观音,71,12,6
59,七情迷没,妖魔,盘丝洞,蜘蛛精,,72,26,7
60,多目遭伤,妖魔,黄花观,多目怪,毗蓝婆菩萨,73,29,5
61,城里遇灾,妖魔,狮驼岭,青狮,如来,74,10,4
62,怪分三色,妖魔,狮驼岭,白象,如来,75,23,8
63,路阻狮驼,妖魔,狮驼国,大鹏,如来,76,23,7
64,请佛收魔,妖魔,狮驼国,大鹏,如来,77,19,5
65,比丘救子,人祸,比丘国,白鹿精,寿星,78,28,4
66,辨认真邪,人祸,比丘国,白鹿精,寿星,79,22,3
67,松林救怪,妖魔,黑松林,金鼻白毛老鼠精,,80,14,4
68,僧房卧病,人祸,镇海禅林寺,金鼻白毛老鼠精,,81,19,8
69,无底洞遭困,妖魔,陷空山,金鼻白毛老鼠精,托塔天王,82,21,5
70,灭法国难行,人祸,灭法国,灭法国王,,84,33,9
71,隐雾山遇魔,妖魔,隐雾山,南山大王,,86,9,7
72,凤仙郡求雨,天灾,凤仙郡,,玉帝,87,32,9
73,失落兵器,妖魔,玉华州,黄狮精,,88,14,8
74,会庆钉钯,妖魔,玉华州,黄狮精,,89,15,3
75,竹节山遭难,妖魔,竹节山,九灵元圣,太乙救苦天尊,90,15,9
76,玄英洞受苦,妖魔,青龙山,犀牛精,四木禽星,91,21,6
77,赶捉犀牛,妖魔,青龙山,犀牛精,四木禽星,92,30,6
78,天竺招婚,人祸,天竺国,玉兔精,太阴星君,93,27,7
79,铜台府监禁,人祸,铜台府,盗贼,,97,28,8
80,凌云渡脱胎,神佛试炼,凌云渡,,接引佛祖,98,6,3
81,通天河白鼍淹经,水难,通天河,白鼍,,99,15,2
