month,product_line,revenue_k,operating_cash_k,cash_to_revenue
2023-01,云梯-企业版,782.65,242.3,0.3096
2023-01,云梯-标准版,427.49,146.06,0.3417
2023-01,云梯-硬件,276.77,84.14,0.304
2023-01,云梯-服务,211.89,63.2,0.2983
2023-02,云梯-企业版,779.93,248.06,0.3181
2023-02,云梯-标准版,454.11,144.8,0.3189
2023-02,云梯-硬件,275.81,77.35,0.2805
2023-02,云梯-服务,203.92,58.18,0.2853
2023-03,云梯-企业版,899.46,272.17,0.3026
2023-03,云梯-标准版,510.59,168.23,0.3295
2023-03,云梯-硬件,351.76,112.39,0.3195
2023-03,云梯-服务,250.86,78.57,0.3132
2023-04,云梯-企业版,781.93,260.12,0.3327
2023-04,云梯-标准版,427.15,127.18,0.2977
2023-04,云梯-硬件,288.62,89.96,0.3117
2023-04,云梯-服务,216.58,68.62,0.3168
2023-05,云梯-企业版,798.57,255.26,0.3196
2023-05,云梯-标准版,434.66,136.02,0.3129
2023-05,云梯-硬件,291.45,88.46,0.3035
2023-05,云梯-服务,228.33,68.22,0.2988
2023-06,云梯-企业版,1033.55,330.1,0.3194
2023-06,云梯-标准版,536.1,148.57,0.2771
2023-06,云梯-硬件,370.23,114.49,0.3092
2023-06,云梯-服务,266.82,86.81,0.3253
2023-07,云梯-企业版,766.1,247.58,0.3232
2023-07,云梯-标准版,459.92,138.47,0.3011
2023-07,云梯-硬件,281.51,86.4,0.3069
2023-07,云梯-服务,210.22,67.21,0.3197
2023-08,云梯-企业版,795.11,257.8,0.3242
2023-08,云梯-标准版,434.63,133.92,0.3081
2023-08,云梯-硬件,286.85,84.68,0.2952
2023-08,云梯-服务,211.46,66.2,0.313
2023-09,云梯-企业版,969.86,310.52,0.3202
2023-09,云梯-标准版,607.78,195.46,0.3216
2023-09,云梯-硬件,375.31,117.87,0.3141
2023-09,云梯-服务,255.88,84.52,0.3303
2023-10,云梯-企业版,847.26,258.18,0.3047
2023-10,云梯-标准版,486.81,152.42,0.3131
2023-10,云梯-硬件,291.78,93.03,0.3188
2023-10,云梯-服务,223.86,67.69,0.3024
2023-11,云梯-企业版,769.0,222.16,0.2889
2023-11,云梯-标准版,453.99,144.98,0.3193
2023-11,云梯-硬件,293.74,84.57,0.2879
2023-11,云梯-服务,199.73,68.37,0.3423
2023-12,云梯-企业版,1024.14,314.18,0.3068
2023-12,云梯-标准版,553.28,179.87,0.3251
2023-12,云梯-硬件,385.5,126.48,0.3281
2023-12,云梯-服务,250.51,79.24,0.3163
2024-01,云梯-企业版,830.69,236.73,0.285
2024-01,云梯-标准版,482.94,142.16,0.2944
2024-01,云梯-硬件,329.44,99.88,0.3032
2024-01,云梯-服务,216.68,61.58,0.2842
2024-02,云梯-企业版,802.27,240.57,0.2999
2024-02,云梯-标准版,449.85,154.88,0.3443
2024-02,云梯-硬件,322.37,100.2,0.3108
2024-02,云梯-服务,227.47,64.52,0.2836
2024-03,云梯-企业版,1084.7,360.11,0.332
2024-03,云梯-标准版,587.46,173.77,0.2958
2024-03,云梯-硬件,394.2,129.15,0.3276
2024-03,云梯-服务,287.03,88.1,0.3069
2024-04,云梯-企业版,830.6,249.58,0.3005
2024-04,云梯-标准版,469.1,149.56,0.3188
2024-04,云梯-硬件,330.24,100.2,0.3034
2024-04,云梯-服务,218.59,65.96,0.3018
2024-05,云梯-企业版,924.07,291.55,0.3155
2024-05,云梯-标准版,498.88,155.46,0.3116
2024-05,云梯-硬件,322.96,96.07,0.2975
2024-05,云梯-服务,223.58,69.11,0.3091
2024-06,云梯-企业版,1075.15,357.42,0.3324
2024-06,云梯-标准版,581.02,180.37,0.3104
2024-06,云梯-硬件,384.45,116.41,0.3028
2024-06,云梯-服务,270.14,82.51,0.3054
2024-07,云梯-企业版,868.41,281.39,0.324
2024-07,云梯-标准版,476.54,143.82,0.3018
2024-07,云梯-硬件,326.0,94.06,0.2885
2024-07,云梯-服务,228.24,69.66,0.3052
2024-08,云梯-企业版,888.99,255.55,0.2875
2024-08,云梯-标准版,508.02,162.61,0.3201
2024-08,云梯-硬件,335.14,103.88,0.31
2024-08,云梯-服务,211.89,66.38,0.3133
2024-09,云梯-企业版,1082.78,367.38,0.3393
2024-09,云梯-标准版,595.07,185.52,0.3118
2024-09,云梯-硬件,402.6,121.57,0.302
2024-09,云梯-服务,285.45,81.51,0.2856
