month,customer_id,receivable_k,dso_days,overdue,revenue_share
2023-01,C01,242.02,43.6,0,0.0979
2023-01,C02,232.39,49.5,0,0.0829
2023-01,C03,203.35,50.2,0,0.0716
2023-01,C04,161.66,44.6,0,0.064
2023-01,C05,140.04,43.8,0,0.0565
2023-01,C06,112.42,47.5,0,0.0418
2023-01,C07,119.94,50.7,0,0.0418
2023-01,C08,114.3,48.3,0,0.0418
2023-01,C09,115.44,48.8,0,0.0418
2023-01,C10,119.67,50.5,0,0.0418
2023-01,C11,114.82,48.5,0,0.0418
2023-01,C12,112.78,47.6,,0.0418
2023-01,C13,104.0,43.9,0,0.0418
2023-01,C14,117.47,49.6,0,0.0418
2023-01,C15,113.74,48.0,0,0.0418
2023-01,C16,114.16,48.2,0,0.0418
2023-01,C17,102.7,43.4,0,0.0418
2023-01,C18,108.88,46.0,0,0.0418
2023-01,C19,119.38,50.4,0,0.0418
2023-01,C20,104.15,44.0,0,0.0418
2023-02,C01,266.07,47.6,0,0.0979
2023-02,C02,206.35,43.6,0,0.0829
2023-02,C03,174.55,42.7,0,0.0716
2023-02,C04,174.01,47.6,0,0.064
2023-02,C05,154.93,48.0,0,0.0565
2023-02,C06,122.73,51.4,0,0.0418
2023-02,C07,111.28,46.6,0,0.0418
2023-02,C08,106.05,44.4,0,0.0418
2023-02,C09,102.71,43.0,0,0.0418
2023-02,C10,122.71,51.4,0,0.0418
2023-02,C11,119.53,50.0,0,0.0418
2023-02,C12,112.91,47.3,0,0.0418
2023-02,C13,109.48,45.8,0,0.0418
2023-02,C14,116.9,48.9,0,0.0418
2023-02,C15,121.18,50.7,0,0.0418
2023-02,C16,111.65,46.7,0,0.0418
2023-02,C17,117.58,49.2,0,0.0418
2023-02,C18,109.87,46.0,0,0.0418
2023-02,C19,109.5,45.8,,0.0418
2023-02,C20,113.57,47.6,0,0.0418
2023-03,C01,333.15,50.7,0,0.0979
2023-03,C02,282.48,50.8,0,0.0829
2023-03,C03,252.73,52.6,0,0.0716
2023-03,C04,206.2,48.0,0,0.064
2023-03,C05,176.5,46.6,0,0.0565
2023-03,C06,132.61,47.3,0,0.0418
2023-03,C07,124.94,44.5,0,0.0418
2023-03,C08,147.15,52.5,,0.0418
2023-03,C09,136.87,48.8,0,0.0418
2023-03,C10,124.07,44.2,0,0.0418
2023-03,C11,134.21,47.8,0,0.0418
2023-03,C12,121.11,43.2,0,0.0418
2023-03,C13,130.94,46.7,0,0.0418
2023-03,C14,135.92,48.5,0,0.0418
2023-03,C15,136.67,48.7,0,0.0418
2023-03,C16,140.33,50.0,,0.0418
2023-03,C17,128.7,45.9,0,0.0418
2023-03,C18,140.07,49.9,0,0.0418
2023-03,C19,119.96,42.8,0,0.0418
2023-03,C20,137.78,49.1,0,0.0418
2023-04,C01,229.43,41.0,0,0.0979
2023-04,C02,205.23,43.3,0,0.0829
2023-04,C03,190.92,46.7,0,0.0716
2023-04,C04,182.13,49.8,0,0.064
2023-04,C05,142.67,44.2,0,0.0565
2023-04,C06,102.55,42.9,0,0.0418
2023-04,C07,114.08,47.7,0,0.0418
2023-04,C08,123.07,51.5,0,0.0418
2023-04,C09,107.34,44.9,0,0.0418
2023-04,C10,116.31,48.7,0,0.0418
2023-04,C11,107.6,45.0,0,0.0418
2023-04,C12,118.13,49.4,0,0.0418
2023-04,C13,107.65,45.1,0,0.0418
2023-04,C14,110.15,46.1,0,0.0418
2023-04,C15,113.08,47.3,,0.0418
2023-04,C16,111.95,46.9,0,0.0418
2023-04,C17,107.05,44.8,0,0.0418
2023-04,C18,106.73,44.7,0,0.0418
2023-04,C19,114.02,47.7,0,0.0418
2023-04,C20,112.71,47.2,0,0.0418
2023-05,C01,288.19,50.4,0,0.0979
2023-05,C02,219.71,45.4,0,0.0829
2023-05,C03,184.97,44.2,0,0.0716
2023-05,C04,165.29,44.2,0,0.064
2023-05,C05,178.3,54.0,0,0.0565
2023-05,C06,117.95,48.3,0,0.0418
2023-05,C07,116.32,47.6,0,0.0418
2023-05,C08,111.37,45.6,0,0.0418
2023-05,C09,122.38,50.1,0,0.0418
2023-05,C10,105.69,43.3,0,0.0418
2023-05,C11,116.94,47.9,0,0.0418
2023-05,C12,124.94,51.1,0,0.0418
2023-05,C13,110.82,45.4,0,0.0418
2023-05,C14,103.14,42.2,0,0.0418
2023-05,C15,114.41,46.8,0,0.0418
2023-05,C16,111.0,45.4,0,0.0418
2023-05,C17,119.9,49.1,0,0.0418
2023-05,C18,102.8,42.1,0,0.0418
2023-05,C19,126.56,51.8,0,0.0418
2023-05,C20,117.85,48.2,0,0.0418
2023-06,C01,347.87,48.3,0,0.0979
2023-06,C02,301.43,49.5,0,0.0829
2023-06,C03,270.69,51.4,0,0.0716
