month,product_line,region,revenue_k,cost_k,gross_margin_rate,order_count
2023-01,云梯-企业版,华东,302.55,114.58,0.6213,45
2023-01,云梯-企业版,华北,209.88,79.93,0.6192,31
2023-01,云梯-企业版,华南,157.3,56.31,0.642,21
2023-01,云梯-企业版,西部,112.92,42.92,0.6199,14
2023-01,云梯-标准版,华东,160.46,83.07,0.4823,26
2023-01,云梯-标准版,华北,106.81,54.15,0.493,15
2023-01,云梯-标准版,华南,96.65,51.94,0.4626,13
2023-01,云梯-标准版,西部,63.57,33.63,0.471,10
2023-01,云梯-硬件,华东,107.78,79.22,0.2649,26
2023-01,云梯-硬件,华北,72.29,52.22,0.2776,5
2023-01,云梯-硬件,华南,56.01,40.64,0.2744,1
2023-01,云梯-硬件,西部,40.69,29.71,0.2698,7
2023-01,云梯-服务,华东,90.62,41.65,0.5404,13
2023-01,云梯-服务,华北,47.5,22.3,0.5306,13
2023-01,云梯-服务,华南,46.7,20.39,0.5634,1
2023-01,云梯-服务,西部,27.07,12.07,0.5542,4
2023-02,云梯-企业版,华东,293.79,116.03,0.6051,33
2023-02,云梯-企业版,华北,202.98,76.83,0.6215,26
2023-02,云梯-企业版,华南,169.17,64.85,0.6166,25
2023-02,云梯-企业版,西部,113.99,43.58,0.6177,13
2023-02,云梯-标准版,华东,164.22,86.7,0.472,20
2023-02,云梯-标准版,华北,122.2,64.16,0.4749,10
2023-02,云梯-标准版,华南,98.4,53.7,0.4543,11
2023-02,云梯-标准版,西部,69.29,36.43,0.4742,9
2023-02,云梯-硬件,华东,98.97,71.49,0.2776,17
2023-02,云梯-硬件,华北,75.24,54.26,0.2788,12
2023-02,云梯-硬件,华南,59.93,42.04,0.2986,4
2023-02,云梯-硬件,西部,41.67,29.73,0.2865,4
2023-02,云梯-服务,华东,73.8,33.82,0.5417,9
2023-02,云梯-服务,华北,53.15,24.05,0.5476,13
2023-02,云梯-服务,华南,45.79,20.71,0.5477,10
2023-02,云梯-服务,西部,31.18,13.66,0.562,4
2023-03,云梯-企业版,华东,338.25,122.36,0.6382,55
2023-03,云梯-企业版,华北,237.36,89.63,0.6224,38
2023-03,云梯-企业版,华南,206.63,77.25,0.6262,32
2023-03,云梯-企业版,西部,117.22,44.7,0.6187,20
2023-03,云梯-标准版,华东,195.48,105.72,0.4592,29
2023-03,云梯-标准版,华北,132.51,69.88,0.4726,23
2023-03,云梯-标准版,华南,104.82,54.37,0.4813,15
2023-03,云梯-标准版,西部,77.78,41.17,0.4707,11
2023-03,云梯-硬件,华东,132.4,95.16,0.2813,11
2023-03,云梯-硬件,华北,89.34,63.95,0.2842,16
2023-03,云梯-硬件,华南,82.02,61.22,0.2536,15
2023-03,云梯-硬件,西部,48.0,35.24,0.2657,14
2023-03,云梯-服务,华东,103.28,44.81,0.5661,11
2023-03,云梯-服务,华北,61.89,27.93,0.5488,6
2023-03,云梯-服务,华南,49.65,22.38,0.5492,3
2023-03,云梯-服务,西部,36.04,16.13,0.5525,10
2023-04,云梯-企业版,华东,307.15,117.13,0.6187,39
2023-04,云梯-企业版,华北,194.21,74.22,0.6179,35
2023-04,云梯-企业版,华南,178.98,67.57,0.6225,18
2023-04,云梯-企业版,西部,101.59,39.44,0.6117,16
2023-04,云梯-标准版,华东,162.48,85.77,0.4721,18
2023-04,云梯-标准版,华北,110.38,57.33,0.4806,15
2023-04,云梯-标准版,华南,99.04,51.3,0.482,12
2023-04,云梯-标准版,西部,55.25,28.64,0.4816,7
2023-04,云梯-硬件,华东,116.16,84.89,0.2692,20
2023-04,云梯-硬件,华北,72.27,52.75,0.27,10
2023-04,云梯-硬件,华南,57.99,43.1,0.2568,13
2023-04,云梯-硬件,西部,42.2,30.45,0.2783,1
2023-04,云梯-服务,华东,79.88,36.5,0.543,12
2023-04,云梯-服务,华北,56.4,25.36,0.5504,10
2023-04,云梯-服务,华南,47.78,20.56,0.5697,11
2023-04,云梯-服务,西部,32.52,15.09,0.5359,7
2023-05,云梯-企业版,华东,308.3,122.2,0.6036,43
2023-05,云梯-企业版,华北,194.93,71.21,0.6347,31
2023-05,云梯-企业版,华南,168.78,62.23,0.6313,31
2023-05,云梯-企业版,西部,126.56,48.68,0.6153,19
2023-05,云梯-标准版,华东,162.75,84.9,0.4783,24
2023-05,云梯-标准版,华北,119.01,62.56,0.4743,20
2023-05,云梯-标准版,华南,95.91,48.96,0.4895,11
2023-05,云梯-标准版,西部,56.99,29.07,0.4899,17
2023-05,云梯-硬件,华东,113.07,82.23,0.2727,13
2023-05,云梯-硬件,华北,77.37,55.61,0.2812,10
2023-05,云梯-硬件,华南,62.46,44.87,0.2817,10
2023-05,云梯-硬件,西部,38.55,27.98,0.2742,11
2023-05,云梯-服务,华东,94.79,42.83,0.5481,14
2023-05,云梯-服务,华北,53.96,24.57,0.5447,9
2023-05,云梯-服务,华南,47.78,21.94,0.5408,2
2023-05,云梯-服务,西部,31.8,14.56,0.5423,1
2023-06,云梯-企业版,华东,404.12,149.11,0.631,54
2023-06,云梯-企业版,华北,247.23,94.23,0.6189,31
2023-06,云梯-企业版,华南,234.12,90.99,0.6114,42
2023-06,云梯-企业版,西部,148.08,57.97,0.6085,17
2023-06,云梯-标准版,华东,195.05,102.43,0.4749,35
2023-06,云梯-标准版,华北,152.73,78.92,0.4833,20
2023-06,云梯-标准版,华南,113.11,56.52,0.5003,20
2023-06,云梯-标准版,西部,75.21,38.43,0.489,7
2023-06,云梯-硬件,华东,135.66,96.79,0.2865,13
2023-06,云梯-硬件,华北,101.52,73.71,0.274,18
2023-06,云梯-硬件,华南,75.58,55.35,0.2677,5
2023-06,云梯-硬件,西部,57.47,42.55,0.2597,13
2023-06,云梯-服务,华东,105.59,48.13,0.5442,5
2023-06,云梯-服务,华北,68.6,31.62,0.5391,10
2023-06,云梯-服务,华南,58.56,25.5,0.5646,12
2023-06,云梯-服务,西部,34.07,14.93,0.5617,10
2023-07,云梯-企业版,华东,307.46,122.02,0.6031,44
2023-07,云梯-企业版,华北,199.06,73.88,0.6288,26
2023-07,云梯-企业版,华南,153.58,61.6,0.5989,22
2023-07,云梯-企业版,西部,106.0,40.63,0.6167,17
2023-07,云梯-标准版,华东,170.83,87.13,0.4899,29
2023-07,云梯-标准版,华北,119.97,62.27,0.481,4
2023-07,云梯-标准版,华南,105.39,53.28,0.4944,16
2023-07,云梯-标准版,西部,63.73,32.88,0.484,9
