month,supplier_id,purchase_k,purchase_share,on_time_rate,defect_return_rate
2023-01,S01,205.3,0.16,0.9545,0.0102
2023-01,S02,193.34,0.14,0.9604,0.0058
2023-01,S03,152.14,0.11,0.9213,0.0208
2023-01,S04,148.36,0.1,0.9888,0.0109
2023-01,S05,130.04,0.09,0.9589,0.0202
2023-01,S06,111.86,0.08,0.9569,0.023
2023-01,S07,96.05,0.07,0.9461,0.013
2023-01,S08,84.49,0.06,0.9321,0.0211
2023-01,S09,84.88,0.06,0.9603,0.0166
2023-01,S10,76.65,0.05,0.9919,0.0236
2023-01,S11,54.88,0.04,0.9923,0.0132
2023-01,S12,58.14,0.04,0.9657,0.0269
2023-02,S01,236.84,0.16,0.975,0.0158
2023-02,S02,211.44,0.14,0.9882,0.0125
2023-02,S03,144.8,0.11,0.9573,0.0232
2023-02,S04,146.31,0.1,0.955,0.0238
2023-02,S05,128.39,0.09,0.9841,
2023-02,S06,110.18,0.08,0.956,0.0181
2023-02,S07,97.2,0.07,0.9924,0.0194
2023-02,S08,89.48,0.06,0.9657,0.0145
2023-02,S09,74.17,0.06,0.9624,0.0047
2023-02,S10,66.46,0.05,0.9682,0.0146
2023-02,S11,58.48,0.04,0.9562,0.0106
2023-02,S12,58.89,0.04,0.9605,0.0258
2023-03,S01,221.58,0.16,0.9739,0.0147
2023-03,S02,181.88,0.14,0.9584,0.0156
2023-03,S03,149.54,0.11,0.9428,0.0059
2023-03,S04,124.27,0.1,0.9628,0.0223
2023-03,S05,132.32,0.09,0.9458,0.0233
2023-03,S06,109.6,0.08,0.9539,0.0133
2023-03,S07,97.78,0.07,0.9797,0.0095
2023-03,S08,79.54,0.06,0.9779,0.0244
2023-03,S09,91.0,0.06,0.9356,0.0187
2023-03,S10,72.51,0.05,0.9717,0.0211
2023-03,S11,60.29,0.04,0.9639,0.0218
2023-03,S12,55.96,0.04,0.9608,0.0194
2023-04,S01,224.65,0.16,0.957,0.0182
2023-04,S02,185.43,0.14,0.9364,
2023-04,S03,155.42,0.11,0.9364,0.0192
2023-04,S04,141.18,0.1,0.9579,0.0167
2023-04,S05,126.77,0.09,0.979,0.0168
2023-04,S06,113.09,0.08,0.9572,0.0218
2023-04,S07,99.8,0.07,0.9727,0.0236
2023-04,S08,86.28,0.06,0.9672,0.0145
2023-04,S09,78.96,0.06,0.9411,0.0103
2023-04,S10,67.79,0.05,1.0,0.0126
2023-04,S11,52.17,0.04,0.9583,0.0229
2023-04,S12,54.72,0.04,0.9713,0.0215
2023-05,S01,207.03,0.16,0.9846,0.0216
2023-05,S02,199.44,0.14,0.9677,0.0244
2023-05,S03,153.01,0.11,0.9726,0.0232
2023-05,S04,151.78,0.1,0.9576,0.0142
2023-05,S05,123.63,0.09,0.9527,0.0296
2023-05,S06,114.46,0.08,0.9514,0.0141
2023-05,S07,98.92,0.07,0.9678,0.0156
2023-05,S08,78.57,0.06,0.9658,0.01
2023-05,S09,75.14,0.06,0.9533,0.0223
2023-05,S10,69.47,0.05,0.9542,0.0195
2023-05,S11,54.08,0.04,0.953,0.0135
2023-05,S12,56.64,0.04,0.9917,0.0172
2023-06,S01,219.43,0.16,0.9691,0.0138
2023-06,S02,175.99,0.14,0.9504,0.0102
2023-06,S03,145.07,0.11,0.9531,0.0242
2023-06,S04,148.54,0.1,0.9848,0.013
2023-06,S05,124.42,0.09,0.9578,0.0208
2023-06,S06,117.61,0.08,0.9525,0.0194
2023-06,S07,92.77,0.07,0.9692,0.0251
2023-06,S08,80.19,0.06,0.9706,0.0225
2023-06,S09,79.0,0.06,0.9748,0.0167
2023-06,S10,65.6,0.05,0.96,0.013
2023-06,S11,56.75,0.04,0.959,0.0254
2023-06,S12,56.22,0.04,0.9664,0.0254
2023-07,S01,232.23,0.16,0.967,0.0202
2023-07,S02,184.37,0.14,0.9437,0.0151
2023-07,S03,158.28,0.11,0.95,0.0192
2023-07,S04,146.68,0.1,0.9329,0.0194
2023-07,S05,132.22,0.09,0.9513,0.024
2023-07,S06,110.47,0.08,0.964,0.0077
2023-07,S07,88.88,0.07,0.9423,0.0217
2023-07,S08,85.83,0.06,0.9906,0.0148
2023-07,S09,77.11,0.06,0.9372,0.0284
2023-07,S10,69.87,0.05,0.9596,0.0186
2023-07,S11,55.91,0.04,0.9832,0.0155
2023-07,S12,56.96,0.04,0.9632,0.0166
2023-08,S01,231.4,0.16,0.9829,0.0183
2023-08,S02,189.12,0.14,0.9299,0.0155
2023-08,S03,146.41,0.11,0.9505,0.0323
2023-08,S04,154.42,0.1,0.9307,0.0162
2023-08,S05,131.99,0.09,0.9686,0.0234
2023-08,S06,106.14,0.08,0.9782,0.0145
2023-08,S07,93.47,0.07,0.9559,0.0245
2023-08,S08,81.39,0.06,0.9584,0.0088
2023-08,S09,84.0,0.06,0.9498,0.0108
2023-08,S10,68.58,0.05,0.9752,0.0166
2023-08,S11,56.87,0.04,0.983,
2023-08,S12,55.26,0.04,0.9556,0.029
2023-09,S01,227.74,0.16,0.9613,0.0282
2023-09,S02,204.71,0.14,0.9592,0.0161
2023-09,S03,154.45,0.11,0.9755,0.0203
2023-09,S04,140.59,0.1,0.934,0.0238
2023-09,S05,124.34,0.09,0.961,0.0212
2023-09,S06,106.26,0.08,0.9757,0.0237
2023-09,S07,101.82,0.07,0.9625,0.0109
2023-09,S08,80.31,0.06,0.9418,0.0127
2023-09,S09,82.16,0.06,0.9617,0.0117
2023-09,S10,68.88,0.05,0.9632,0.0112
2023-09,S11,61.26,0.04,0.9742,0.0116
2023-09,S12,55.54,0.04,0.9639,
2023-10,S01,211.29,0.16,0.9605,0.01
2023-10,S02,195.11,0.14,0.9623,0.0201
2023-10,S03,155.75,0.11,0.9875,0.0054
2023-10,S04,143.34,0.1,0.987,0.017
2023-10,S05,127.41,0.09,0.9728,0.0199
2023-10,S06,117.44,0.08,0.9392,0.0132
2023-10,S07,106.61,0.07,0.9584,
2023-10,S08,79.05,0.06,0.9669,0.0116
2023-10,S09,86.28,0.06,0.9619,0.0096
2023-10,S10,74.45,0.05,0.9497,0.0124
2023-10,S11,52.95,0.04,0.9426,0.0145
2023-10,S12,51.52,0.04,0.9767,0.0072
2023-11,S01,212.1,0.16,0.9375,0.025
2023-11,S02,196.13,0.14,0.9528,0.0232
2023-11,S03,153.33,0.11,0.9622,0.0205
2023-11,S04,145.47,0.1,0.9742,0.0125
2023-11,S05,137.66,0.09,0.9385,
2023-11,S06,107.38,0.08,0.9622,0.0152
2023-11,S07,104.2,0.07,0.9437,
2023-11,S08,84.6,0.06,0.9631,0.0099
2023-11,S09,87.6,0.06,1.0,0.0084
2023-11,S10,74.2,0.05,0.9691,0.0233
2023-11,S11,49.68,0.04,0.9459,0.0164
2023-11,S12,55.83,0.04,0.9687,0.0128
2023-12,S01,240.66,0.16,0.9659,0.0119
2023-12,S02,197.43,0.14,0.993,0.0091
2023-12,S03,154.19,0.11,0.9679,0.034
2023-12,S04,128.37,0.1,0.9604,0.0157
2023-12,S05,131.24,0.09,0.9577,0.0266
2023-12,S06,114.09,0.08,0.9743,0.0268
2023-12,S07,103.36,0.07,0.9604,0.0228
2023-12,S08,83.68,0.06,0.9864,0.0207
2023-12,S09,80.09,0.06,0.9651,0.0159
2023-12,S10,73.41,0.05,0.9661,0.015
2023-12,S11,57.7,0.04,0.9725,0.0221
2023-12,S12,58.86,0.04,0.9685,0.018
2024-01,S01,228.4,0.16,0.967,0.0099
2024-01,S02,198.83,0.14,0.9714,0.014
2024-01,S03,162.62,0.11,0.9835,0.0185
2024-01,S04,148.35,0.1,0.9478,0.0065
2024-01,S05,126.17,0.09,0.9753,0.0191
2024-01,S06,117.33,0.08,1.0,0.0268
2024-01,S07,106.36,0.07,0.9538,0.0153
